step,position_x,position_y,position_z,rotation_x,rotation_y,rotation_z,linear_velocity_x,linear_velocity_y,linear_velocity_z,angular_velocity_x,angular_velocity_y,angular_velocity_z
10,4.702928890765179e-07,4.032734590708742e-09,5.062450408935547,-6.241329963896875e-07,2.7958088202328923e-05,0.0023395506126111716,1.0222089258604683e-05,1.2998307852285507e-07,-0.0011385977268218994,-1.4691562682855874e-05,0.0003986647934652865,0.030624760314822197
11,7.844373044463282e-07,9.3381808952131e-09,5.062427520751953,-1.034522039348195e-06,3.759832066729807e-05,0.003073397203120104,1.5707220882177353e-05,2.6527231966611e-07,-0.0011365562677383423,-2.1823925635544583e-05,0.0004819543974008411,0.036692339926958084
12,1.2461198366509052e-06,1.915698000232169e-08,5.062405109405518,-1.6077784091759836e-06,4.893143178041903e-05,0.003936711755647529,2.308412513229996e-05,4.909399535790726e-07,-0.0011159926652908325,-3.064879638259299e-05,0.0005665518110617995,0.04316573217511177
13,1.8998198356712237e-06,3.6041885920212735e-08,5.062383651733398,-2.37437782185988e-06,6.194413379279062e-05,0.004937017291836373,3.268500222475268e-05,8.442452781309839e-07,-0.0010782331228256226,-4.121636084164493e-05,0.0006504583288915455,0.05001526325941086
14,2.7966059406026034e-06,6.344663461277378e-08,5.062363147735596,-3.3624002447539756e-06,7.658591825210337e-05,0.006081272574929861,4.483930388232693e-05,1.3702373280466418e-06,-0.0010247379541397095,-5.343355587683618e-05,0.0007318059215322137,0.05721278488636017
15,3.9939332054927945e-06,1.0587793042304838e-07,5.062344074249268,-4.596786268767833e-06,9.27730841040475e-05,0.007375901732523222,5.986635369481519e-05,2.121564648405183e-06,-0.0009570717811584473,-6.716370262438431e-05,0.0008089249022305012,0.06473147869110107
16,5.555307780014118e-06,1.6904010635698796e-07,5.062326431274414,-6.0962372749107955e-06,0.00011039269373269711,0.008826820756273111,7.806872599758208e-05,3.1581091661792016e-06,-0.0008767843246459961,-8.210717351175845e-05,0.0008803439559414983,0.07254595309495926
17,7.549836936959764e-06,2.59959477943994e-07,5.062310695648193,-7.875196661898836e-06,0.00012930718475856473,0.010439466361924258,9.972645784728229e-05,4.545968749880558e-06,-0.000785335898399353,-9.805399167817086e-05,0.0009448241908103228,0.0806322693824768
18,1.0051678145828191e-05,3.8709495697730745e-07,5.0622968673706055,-9.940203811559412e-06,0.00014935853959241463,0.012218811305873071,0.00012509204680100083,6.356774065352511e-06,-0.0006844103336334229,-0.00011460169480415061,0.0010013340506702662,0.08896724134683609
19,1.3139407201379072e-05,5.604196076092194e-07,5.062285423278809,-1.2293997434523705e-05,0.00017037285044696482,0.014169400657611561,0.00015438644913956523,8.666231224196963e-06,-0.0005754232406616211,-0.00013154232874512672,0.0010490709682926536,0.09752947092056274
20,1.6895322914933786e-05,7.914875936876342e-07,5.062276363372803,-1.4930265503099838e-05,0.00019216416415246407,0.016295368020483477,0.0001877957402030006,1.1553398508112878e-05,-0.0004598349332809448,-0.00014839421783108264,0.001087432843632996,0.10629836469888687
21,2.1404699509730563e-05,1.0934647889371263e-06,5.062269687652588,-1.783611755653958e-05,0.00021453849415231652,0.018600457523100297,0.00022546878608409315,1.5098859876161441e-05,-0.0003390312194824219,-0.00016478860925417393,0.0011160110589116812,0.11525445431470871
22,2.675501127669122e-05,1.4811311075391131e-06,5.062265396118164,-2.0994426942072732e-05,0.00023729739224576107,0.021088046410146045,0.00026751557015813887,1.9383314793230966e-05,-0.0002143383026123047,-0.0001804647035896778,0.001134587568230927,0.124379463493824
23,3.3035135857062414e-05,1.9708622858161107e-06,5.062263488769531,-2.4381722274797543e-05,0.00026024095640075906,0.02376115995213187,0.00031400626176036894,2.448655322950799e-05,-8.706748485565186e-05,-0.00019504524243529886,0.0011430940357968211,0.13365574181079865
24,4.0334554796572775e-05,2.5805811674217694e-06,5.062264442443848,-2.796859708193196e-05,0.000283170921844933,0.026622501778766006,0.0003649708814918995,3.0485945899272338e-05,4.172325134277344e-05,-0.00020816629694309086,0.0011416181223466992,0.1430671364068985
