176.3, 200.0, 113.0, 100.0, 0.0, 10.0, 0.0
177.32, 200.0, 123.2, 100.0, 0.0, 10.0, -0.0
178.34, 200.0, 133.4, 100.0, -0.0, 10.0, -0.0
179.36, 200.0, 143.6, 100.0, -0.0, 10.0, -0.0
180.38, 200.0, 153.8, 100.0, -0.0, 10.0, -0.0
181.4, 200.0, 164.0, 100.0, -0.0, 10.0, -0.01
182.42, 199.98, 174.18, 99.97, -0.04, 9.97, -0.05
183.44, 199.89, 184.31, 99.86, -0.15, 9.87, -0.17
184.46, 199.63, 194.29, 99.58, -0.38, 9.69, -0.39
185.48, 199.08, 204.05, 99.04, -0.71, 9.42, -0.68
186.5, 198.13, 213.48, 98.16, -1.14, 9.07, -1.03
187.52, 196.73, 222.51, 96.93, -1.61, 8.63, -1.38
188.54, 194.84, 231.06, 95.35, -2.09, 8.14, -1.71
189.56, 192.46, 239.09, 93.44, -2.56, 7.61, -2.0
190.58, 189.61, 246.57, 91.27, -3.01, 7.06, -2.24
191.6, 186.31, 253.48, 88.89, -3.45, 6.51, -2.42
192.62, 182.57, 259.84, 86.35, -3.88, 5.97, -2.55
193.64, 178.38, 265.65, 83.7, -4.33, 5.42, -2.63
194.66, 173.73, 270.9, 81.0, -4.78, 4.88, -2.66
195.68, 168.6, 275.6, 78.29, -5.26, 4.35, -2.64
196.7, 162.99, 279.75, 75.62, -5.74, 3.81, -2.58
197.72, 156.88, 283.38, 73.04, -6.22, 3.3, -2.48
198.74, 150.29, 286.49, 70.59, -6.69, 2.83, -2.33
199.76, 143.22, 289.15, 68.31, -7.15, 2.4, -2.14
200.78, 135.7, 291.41, 66.24, -7.6, 2.04, -1.91
201.8, 127.72, 293.32, 64.43, -8.04, 1.72, -1.65
202.82, 119.3, 294.93, 62.89, -8.46, 1.45, -1.37
203.84, 110.45, 296.27, 61.65, -8.87, 1.19, -1.07
204.86, 101.21, 297.36, 60.71, -9.24, 0.95, -0.78
205.88, 91.61, 298.2, 60.06, -9.57, 0.71, -0.5
206.9, 81.7, 298.8, 59.68, -9.83, 0.48, -0.25
207.92, 71.56, 299.17, 59.54, -10.04, 0.27, -0.04
208.94, 61.25, 299.37, 59.58, -10.18, 0.12, 0.11
209.96, 50.83, 299.43, 59.75, -10.24, 0.03, 0.2
210.98, 40.37, 299.44, 59.96, -10.24, 0.01, 0.2
212.0, 29.96, 299.48, 60.13, -10.17, 0.06, 0.13
213.02, 19.63, 299.58, 60.22, -10.08, 0.14, 0.03
214.04, 9.39, 299.76, 60.2, -10.0, 0.19, -0.06
215.06, -0.78, 299.96, 60.11, -9.94, 0.19, -0.1
216.08, -10.91, 300.13, 60.01, -9.92, 0.14, -0.1
217.1, -21.03, 300.23, 59.93, -9.93, 0.06, -0.06
218.12, -31.17, 300.25, 59.89, -9.95, -0.02, -0.01
219.14, -41.33, 300.19, 59.9, -9.98, -0.08, 0.02
220.16, -51.53, 300.1, 59.93, -10.01, -0.09, 0.04
221.18, -61.75, 300.01, 59.98, -10.02, -0.08, 0.04
222.2, -71.97, 299.94, 60.02, -10.03, -0.05, 0.03
223.22, -82.2, 299.91, 60.04, -10.02, -0.01, 0.01
224.24, -92.42, 299.92, 60.04, -10.01, 0.02, -0.0
225.26, -102.62, 299.94, 60.03, -10.0, 0.03, -0.01
226.28, -112.82, 299.98, 60.02, -10.0, 0.03, -0.02
227.3, -123.01, 300.01, 60.0, -9.99, 0.02, -0.01
228.32, -133.2, 300.02, 59.99, -9.99, 0.01, -0.01
229.34, -143.4, 300.03, 59.98, -9.99, -0.0, -0.0
230.36, -153.59, 300.02, 59.99, -10.0, -0.01, 0.0
231.38, -163.79, 300.01, 59.99, -10.0, -0.01, 0.01
232.4, -173.99, 300.0, 60.0, -10.0, -0.01, 0.01
233.42, -184.2, 300.0, 60.0, -10.0, -0.01, 0.0
234.44, -194.4, 299.99, 60.0, -10.0, -0.0, 0.0
235.46, -204.6, 299.99, 60.01, -10.0, 0.0, 0.0
236.48, -214.8, 299.99, 60.0, -10.0, 0.0, -0.0
237.5, -225.0, 300.0, 60.0, -10.0, 0.0, -0.0
238.52, -235.2, 300.0, 60.0, -10.0, 0.0, -0.0
239.54, -245.4, 300.0, 60.0, -10.0, 0.0, -0.0
240.56, -255.6, 300.0, 60.0, -10.0, -0.0, -0.0
