id_run_name,iteration,reward,max_reward,std_reward,num_envs_train,mean_Episode_Reward/rew_attitude_stability2,mean_Episode_Reward/rew_ang_vel_stability4,mean_Episode_Reward/rew_altitude_hold2,mean_Episode_Reward/rew_vel2,mean_Episode_Reward/rew_pos2,mean_Episode_Reward/rew_action_rate,mean_Episode_Termination/time_out,mean_Episode_Termination/below_min_altitude,mean_Episode_Termination/bad_attitude,mean_Episode_Termination/safety_shutdown
ppo_random_command8_25,490,428.424447631836,463.9216613769531,9.348626807566148,64,7.940141034126282,3.9474414348602296,3.8725645327568055,1.0949913090467454,0.1839859306067228,-0.0087799529731273,1.0,0.0,0.0,0.0
ppo_random_command8_26,834,455.43803771972654,478.6465759277344,15.183104434464502,512,7.949983735084533,3.9133601427078246,3.979583361148834,1.4241064393520355,1.128302325606346,-0.0935699701309204,1.0,0.0,0.0,0.0
ppo_random_command8_28,768,450.8180786132813,478.2631530761719,13.617372970237865,2048,7.948368792533874,3.952828917503357,3.9807568860054015,1.4199591338634492,0.7286750406771898,-0.0121191015373915,1.0,0.0,0.0,0.0
ppo_random_command8_29,539,447.0641140747071,471.16845703125,16.47585187765068,64,7.934526252746582,3.843005475997925,3.954049482345581,1.4089676547050476,1.158399276584387,-0.2999337989091873,1.0,0.0,0.0,0.0
ppo_random_command8_30,897,438.4780154418945,462.6611328125,14.59123335107525,512,7.937389612197876,3.8055986762046814,3.98656968832016,1.4036759150028228,0.920690117292106,-0.6047045236825943,1.0,0.0,0.0,0.0
ppo_random_command8_31,484,432.7840335083008,479.6054992675781,16.183799627774892,1024,7.939125256538391,3.955374045372009,3.976354694366455,1.2530406379699708,0.3084865077957511,-0.0007949698407901,0.98828125,0.0009765625,0.0107421875,0.0
ppo_random_command8_32,622,439.7289758300781,465.8528137207031,14.483148791457229,64,7.95814576625824,3.864732584953308,3.9908804845809938,1.4339311039447784,1.4948761093616485,-0.5565722471475602,1.0,0.0,0.0,0.0
ppo_random_command8_33,244,449.5758349609375,481.03948974609375,15.25060336106895,64,7.8591325569152835,3.896533229351044,3.98258020401001,1.362989286184311,0.7098073273897171,-0.026436151266098,1.0,0.0,0.0,0.0
ppo_random_command8_34,961,403.1391195678711,427.7838745117188,14.65851765646022,128,7.91894944190979,3.718783049583435,3.962899208068848,1.3686677896976471,1.1744930720329283,-1.812597404718399,1.0,0.0,0.0,0.0
ppo_random_command8_35,437,442.6366296386719,464.87640380859375,15.469473505243295,4096,7.9344093608856205,3.8584911322593687,3.9854951882362366,1.413104420900345,0.9905679527670145,-0.6096223002672195,1.0,0.0,0.0,0.0
