id_run_name,iteration,reward
ppo_random_hover_19,1500,-99.78738399863244
ppo_random_hover_19,1600,-90.78650078773498
ppo_random_hover_19,1700,-86.34680207714439
ppo_random_hover_19,1800,-77.02255911827088
ppo_random_hover_19,1900,-67.35950678944587
ppo_random_hover_19,2000,-64.66823549449444
ppo_random_hover_20,0,-9.403674160972948
ppo_random_hover_20,100,-489.8079718017578
ppo_random_hover_20,200,-487.6996728515625
ppo_random_hover_20,300,-492.74813751220705
ppo_random_hover_20,400,-484.76775939941405
ppo_random_hover_20,500,-488.23912811279297
ppo_random_hover_20,600,-492.93169372558594
ppo_random_hover_20,700,-488.35708709716795
ppo_random_hover_20,800,-487.0268109130859
ppo_random_hover_20,900,-489.3473724365234
ppo_random_hover_20,1000,-489.16424438476565
ppo_random_hover_20,1100,-494.25735260009765
ppo_random_hover_20,1200,-489.29729705810547
ppo_random_hover_20,1300,-490.7693569946289
ppo_random_hover_20,1400,-488.0385781860352
ppo_random_hover_20,1500,-491.99140411376953
ppo_random_hover_20,1600,-484.73490966796874
ppo_random_hover_20,1700,-487.79877319335935
ppo_random_hover_20,1800,-487.257746887207
ppo_random_hover_20,1900,-486.53220306396486
ppo_random_hover_20,2000,-490.5922842407227
ppo_random_hover_21,0,-5.578243521884794
ppo_random_hover_21,100,-498.0261459350586
ppo_random_hover_21,200,-489.1048236083984
ppo_random_hover_21,300,-500.58344177246096
ppo_random_hover_21,400,-534.7171682739258
ppo_random_hover_21,500,-519.9274118041992
ppo_random_hover_21,600,-511.434817199707
ppo_random_hover_21,700,-535.4210888671874
ppo_random_hover_21,800,-554.8805154418945
ppo_random_hover_21,900,-538.7586981201172
ppo_random_hover_21,1000,-555.5379989624023
ppo_random_hover_21,1100,-546.0807543945313
ppo_random_hover_21,1200,-542.9257208251953
ppo_random_hover_21,1300,-557.1663598632813
ppo_random_hover_21,1400,-547.2789422607422
ppo_random_hover_21,1500,-546.5778790283204
ppo_random_hover_21,1600,-528.3764260864258
ppo_random_hover_21,1700,-539.8778057861329
ppo_random_hover_21,1800,-529.7047241210937
ppo_random_hover_21,1900,-536.9095346069336
ppo_random_hover_21,2000,-538.4006036376953
ppo_random_hover_22,0,-5.92247580754615
ppo_random_hover_22,100,-497.9506478881836
ppo_random_hover_22,200,-495.17914916992186
ppo_random_hover_22,300,-501.74132446289065
ppo_random_hover_22,400,-500.06160339355466
ppo_random_hover_22,500,-544.9588568115234
ppo_random_hover_22,600,-368.0164205169678
ppo_random_hover_22,700,-141.42413364410402
ppo_random_hover_23,0,-9.386874911153601
ppo_random_hover_23,100,-487.3324591064453
ppo_random_hover_23,200,-489.5971273803711
ppo_random_hover_23,300,-491.6919891357422
ppo_random_hover_23,400,-492.98147064208985
ppo_random_hover_23,500,-491.73280639648436
ppo_random_hover_23,600,-489.2162826538086
ppo_random_hover_23,700,-488.37608154296873
ppo_random_hover_23,800,-490.24151214599607
ppo_random_hover_23,900,-489.71278381347656
ppo_random_hover_23,1000,-489.36590881347655
ppo_random_hover_23,1100,-490.1395263671875
ppo_random_hover_23,1200,-491.8870223999023
ppo_random_hover_23,1300,-491.9295724487305
ppo_random_hover_23,1400,-489.78417419433595
ppo_random_hover_23,1500,-491.1310760498047
ppo_random_hover_23,1600,-488.6778253173828
ppo_random_hover_23,1700,-493.5321697998047
ppo_random_hover_23,1800,-487.3141754150391
ppo_random_hover_23,1900,-487.5542459106445
ppo_random_hover_23,2000,-486.8399346923828
ppo_random_hover_24,0,-5.006070357880422
ppo_random_hover_24,100,-421.63154846191406
ppo_random_hover_24,200,-432.75675506591796
ppo_random_hover_24,300,-434.0098211669922
ppo_random_hover_24,400,-457.81172729492187
ppo_random_hover_24,500,-469.16187377929685
ppo_random_hover_24,600,-480.2393222045898
ppo_random_hover_24,700,-481.8905776977539
ppo_random_hover_24,800,-510.318014831543
ppo_random_hover_24,900,-507.892746887207
ppo_random_hover_24,1000,-524.2178732299805
ppo_random_hover_24,1100,-530.8887734985351
ppo_random_hover_24,1200,-542.0647766113282
ppo_random_hover_24,1300,-555.2770318603516
ppo_random_hover_24,1400,-535.456629333496
ppo_random_hover_24,1500,-541.5579290771484
ppo_random_hover_24,1600,-546.9434097290039
ppo_random_hover_24,1700,-548.0379000854492
ppo_random_hover_24,1800,-547.951591796875
ppo_random_hover_24,1900,-549.536584777832
ppo_random_hover_24,2000,-554.9219134521485
ppo_random_hover_25,0,-5.576582218032508
ppo_random_hover_25,100,-485.91673156738284
ppo_random_hover_25,200,-489.6806869506836
ppo_random_hover_25,300,-521.082127380371
ppo_random_hover_25,400,-193.54807037353515
ppo_random_hover_25,500,-97.34330053329468
ppo_random_hover_25,600,-46.71320613861084
ppo_random_hover_25,700,-25.47271140024066
ppo_random_hover_25,800,-17.6222147077322
ppo_random_hover_26,0,-6.939964334702208
ppo_random_hover_26,100,-488.50307525634764
ppo_random_hover_26,200,-501.1190759277344
ppo_random_hover_26,300,-474.3017855834961
ppo_random_hover_26,400,-514.4897039794922
ppo_random_hover_26,500,-495.15273223876954
ppo_random_hover_26,600,-511.19913970947266
ppo_random_hover_26,700,-562.9389468383789
ppo_random_hover_26,800,-640.8056787109375
ppo_random_hover_26,900,-570.0735925292969
ppo_random_hover_26,1000,-357.65970432281495
ppo_random_hover_26,1100,-120.72871782302856
ppo_random_hover_26,1200,-102.63822373390198
ppo_random_hover_26,1300,-47.167088487148284
ppo_random_hover_26,1400,-43.342250067591664
ppo_random_hover_26,1500,-20.59313633441925
ppo_random_hover_26,1600,-19.731667683571576
ppo_random_hover_26,1700,-2.342998285293579
ppo_random_hover_26,1800,-6.669425204396248
ppo_random_hover_26,1900,-3.690897907614708
ppo_random_hover_26,2000,1.4420006686449052
ppo_random_hover_27,0,-5.5599625907128765
ppo_random_hover_27,100,-492.68592163085935
ppo_random_hover_27,200,-515.0016317749023
ppo_random_hover_27,300,-480.2135922241211
ppo_random_hover_27,400,-123.96922960281373
ppo_random_hover_27,500,-28.611596884280445
ppo_random_hover_27,600,-6.6195827307552095
ppo_random_hover_28,0,-6.921526864348423
ppo_random_hover_28,100,-525.8928845214843
ppo_random_hover_28,200,-516.0043685913085
ppo_random_hover_28,300,-497.5450201416016
ppo_random_hover_28,400,-501.3007342529297
ppo_random_hover_28,500,-501.27045074462893
ppo_random_hover_28,600,-495.7983093261719
ppo_random_hover_28,700,-494.21222229003905
ppo_random_hover_28,800,-490.0246520996094
ppo_random_hover_28,900,-503.613203125
ppo_random_hover_28,1000,-525.2506396484375
ppo_random_hover_28,1100,-541.1064151000977
ppo_random_hover_28,1200,-543.9643322753906
ppo_random_hover_28,1300,-591.5932040405273
ppo_random_hover_28,1400,-589.5816635131836
ppo_random_hover_28,1500,-555.5464056396485
ppo_random_hover_28,1600,-534.3265600585937
ppo_random_hover_28,1700,-471.15708892822266
ppo_random_hover_28,1800,-429.9326727294922
ppo_random_hover_28,1900,-364.99255783081054
ppo_random_hover_28,2000,-116.65216712713242
ppo_random_hover_29,0,-5.348345168821869
ppo_random_hover_29,100,-552.477575378418
ppo_random_hover_29,200,-523.4559948730468
ppo_random_hover_29,300,-498.2048556518555
ppo_random_hover_29,400,-502.0001446533203
ppo_random_hover_29,500,-535.7019262695312
ppo_random_hover_29,600,-529.918062133789
ppo_random_hover_29,700,-168.33486892700196
ppo_random_hover_29,800,-45.768578019142154
ppo_random_hover_29,900,-11.102795436382294
ppo_random_hover_29,1000,-4.68045911937952
ppo_random_hover_29,1100,-6.971055061072111
ppo_random_hover_29,1200,4.293753323256969
ppo_random_hover_30,0,-5.028519476985648
ppo_random_hover_30,100,-437.9730471801758
ppo_random_hover_30,200,-439.63934509277345
ppo_random_hover_30,300,-438.5896820068359
ppo_random_hover_30,400,-438.6395846557617
ppo_random_hover_30,500,-440.2338006591797
ppo_random_hover_30,600,-438.99723388671873
ppo_random_hover_30,700,-440.50141876220704
ppo_random_hover_30,800,-441.88569274902346
ppo_random_hover_30,900,-441.1422457885742
ppo_random_hover_30,1000,-437.8893682861328
ppo_random_hover_30,1100,-441.77556854248047
ppo_random_hover_30,1200,-438.67188873291013
ppo_random_hover_30,1300,-437.174358215332
ppo_random_hover_30,1400,-439.53234619140625
ppo_random_hover_30,1500,-437.5333724975586
ppo_random_hover_30,1600,-441.8562823486328
ppo_random_hover_30,1700,-440.2404266357422
ppo_random_hover_30,1800,-441.4244128417969
ppo_random_hover_30,1900,-440.26004608154295
ppo_random_hover_30,2000,-439.6193283081055
ppo_random_hover_31,0,-7.012259421781415
ppo_random_hover_31,100,-493.28361938476564
ppo_random_hover_31,200,-499.5953341674805
ppo_random_hover_31,300,-647.9644546508789
ppo_random_hover_31,400,-412.7654536437988
ppo_random_hover_31,500,-61.55953598976135
ppo_random_hover_32,0,-6.165072067330281
ppo_random_hover_32,100,-491.97950958251954
ppo_random_hover_32,200,-487.45023529052736
ppo_random_hover_32,300,-484.34657165527346
ppo_random_hover_32,400,-482.96350158691405
ppo_random_hover_32,500,-484.9184518432617
ppo_random_hover_32,600,-481.0552114868164
ppo_random_hover_32,700,-479.19579010009767
ppo_random_hover_32,800,-488.2823089599609
ppo_random_hover_32,900,-483.40270080566404
ppo_random_hover_32,1000,-486.1663363647461
ppo_random_hover_32,1100,-480.4561392211914
ppo_random_hover_32,1200,-478.34391998291017
ppo_random_hover_32,1300,-477.0247375488281
ppo_random_hover_32,1400,-484.30059997558595
ppo_random_hover_32,1500,-484.76330810546875
ppo_random_hover_32,1600,-470.85606994628904
ppo_random_hover_32,1700,-479.166611328125
ppo_random_hover_32,1800,-480.4723504638672
ppo_random_hover_32,1900,-476.3046755981445
ppo_random_hover_32,2000,-476.56648712158204
ppo_random_hover_33,0,-4.929567453761895
ppo_random_hover_33,100,-422.6422735595703
ppo_random_hover_33,200,-430.103095703125
ppo_random_hover_33,300,-434.5277032470703
ppo_random_hover_33,400,-466.0297512817383
ppo_random_hover_33,500,-569.7463958740234
ppo_random_hover_33,600,-674.4852062988281
ppo_random_hover_33,700,-676.2362954711914
ppo_random_hover_33,800,-688.0769943237304
ppo_random_hover_33,900,-688.483855895996
ppo_random_hover_33,1000,-667.3043936157227
ppo_random_hover_33,1100,-607.1914852905273
ppo_random_hover_33,1200,-607.6431103515625
ppo_random_hover_33,1300,-592.1507705688476
ppo_random_hover_33,1400,-599.5121594238282
ppo_random_hover_33,1500,-543.1089552307129
ppo_random_hover_33,1600,-526.6654263305664
ppo_random_hover_33,1700,-518.4777416992188
ppo_random_hover_33,1800,-542.464234008789
ppo_random_hover_33,1900,-500.6221032714844
ppo_random_hover_33,2000,-501.91017059326174
ppo_random_hover_34,0,-5.578243521884794
ppo_random_hover_34,100,-486.16272399902346
ppo_random_hover_34,200,-483.89882385253907
ppo_random_hover_34,300,-493.5096142578125
ppo_random_hover_34,400,-504.67967864990237
ppo_random_hover_34,500,-518.4682391357422
ppo_random_hover_34,600,-522.9187139892579
ppo_random_hover_34,700,-518.1632495117187
ppo_random_hover_34,800,-528.0942300415039
ppo_random_hover_34,900,-522.3737271118164
ppo_random_hover_34,1000,-537.5507522583008
ppo_random_hover_34,1100,-534.3394305419922
ppo_random_hover_34,1200,-553.3296273803711
ppo_random_hover_34,1300,-544.5059655761719
ppo_random_hover_34,1400,-543.8721591186523
ppo_random_hover_34,1500,-543.8177084350586
ppo_random_hover_34,1600,-552.5467483520508
ppo_random_hover_34,1700,-558.5312237548828
ppo_random_hover_34,1800,-542.8831185913086
ppo_random_hover_34,1900,-536.8836099243164
ppo_random_hover_34,2000,-551.415744934082
ppo_random_hover_35,0,-5.921169479155824
ppo_random_hover_35,100,-536.1170593261719
ppo_random_hover_35,200,-533.0980783081054
ppo_random_hover_35,300,-527.0524569702148
ppo_random_hover_35,400,-519.2301626586914
ppo_random_hover_35,500,-530.4064306640626
ppo_random_hover_35,600,-531.1464831542969
ppo_random_hover_35,700,-515.574817199707
ppo_random_hover_35,800,-535.4955554199219
ppo_random_hover_35,900,-536.8229605102539
ppo_random_hover_35,1000,-529.2225048828125
ppo_random_hover_35,1100,-527.5679238891602
ppo_random_hover_35,1200,-534.3508181762695
ppo_random_hover_35,1300,-519.5528619384766
ppo_random_hover_35,1400,-526.2352090454101
ppo_random_hover_35,1500,-509.58854248046873
ppo_random_hover_35,1600,-533.8263507080078
ppo_random_hover_35,1700,-540.7863925170899
ppo_random_hover_35,1800,-525.3787289428711
ppo_random_hover_35,1900,-534.9533041381836
ppo_random_hover_35,2000,-545.5216479492187
ppo_random_hover_36,0,-9.101205916454395
ppo_random_hover_36,100,-498.9525909423828
ppo_random_hover_36,200,-505.3110562133789
ppo_random_hover_36,300,-491.4957931518555
ppo_random_hover_36,400,-482.60832061767576
ppo_random_hover_36,500,-490.05192810058594
ppo_random_hover_36,600,-501.0652737426758
ppo_random_hover_36,700,-520.523740234375
ppo_random_hover_36,800,-713.9081979370117
ppo_random_hover_36,900,-602.7421298217773
ppo_random_hover_36,1000,-404.978659362793
ppo_random_hover_36,1100,-173.05661754608155
ppo_random_hover_36,1200,-131.1171029663086
ppo_random_hover_36,1300,-70.14453521728515
ppo_random_hover_36,1400,-49.93225497245788
ppo_random_hover_36,1500,-41.663991825580595
ppo_random_hover_37,0,-5.006070357880422
ppo_random_hover_37,100,-434.4851919555664
ppo_random_hover_37,200,-437.02624938964846
ppo_random_hover_37,300,-439.15567169189455
ppo_random_hover_37,400,-430.37815673828123
ppo_random_hover_37,500,-413.61847534179685
ppo_random_hover_37,600,-411.40450592041014
ppo_random_hover_37,700,-412.1850198364258
ppo_random_hover_37,800,-415.469299621582
ppo_random_hover_37,900,-413.19670532226564
ppo_random_hover_37,1000,-422.6297888183594
ppo_random_hover_37,1100,-428.9681683349609
ppo_random_hover_37,1200,-436.53189544677736
ppo_random_hover_37,1300,-504.31530334472654
ppo_random_hover_37,1400,-471.23920684814453
ppo_random_hover_37,1500,-355.4635145568848
ppo_random_hover_37,1600,-270.46181282043455
ppo_random_hover_37,1700,-199.54840057373048
ppo_random_hover_37,1800,-136.79748546600342
ppo_random_hover_37,1900,-67.67575047016143
ppo_random_hover_37,2000,-67.94429783582687
ppo_random_hover_38,0,-7.18033553216429
ppo_random_hover_38,100,-502.69004821777344
ppo_random_hover_38,200,-537.656416015625
ppo_random_hover_38,300,-586.7895477294921
ppo_random_hover_38,400,-548.377568359375
ppo_random_hover_38,500,-487.55925247192386
ppo_random_hover_38,600,-453.09149124145506
ppo_random_hover_38,700,-425.64308776855466
ppo_random_hover_38,800,-289.72563819885255
ppo_random_hover_38,900,-242.73004226684571
ppo_random_hover_38,1000,-223.38689208984374
ppo_random_hover_38,1100,-181.90645667076112
ppo_random_hover_38,1200,-132.6172058773041
ppo_random_hover_38,1300,-155.82557257652283
ppo_random_hover_38,1400,-138.84427943229676
ppo_random_hover_38,1500,-154.85146659612656
ppo_random_hover_38,1600,-78.70236138820648
ppo_random_hover_39,0,-9.101205916454395
ppo_random_hover_40,0,-9.381455661108097
ppo_random_hover_40,100,-486.97937652587893
ppo_random_hover_40,200,-488.48563903808594
ppo_random_hover_40,300,-483.4988818359375
ppo_random_hover_40,400,-486.1534173583984
ppo_random_hover_40,500,-486.25608428955076
ppo_random_hover_40,600,-484.25299255371095
ppo_random_hover_40,700,-493.67836669921877
ppo_random_hover_40,800,-489.00197052001954
ppo_random_hover_40,900,-493.3316610717773
ppo_random_hover_40,1000,-487.0353637695313
ppo_random_hover_40,1100,-492.9044076538086
ppo_random_hover_40,1200,-516.0011572265626
ppo_random_hover_40,1300,-519.1026193237304
ppo_random_hover_40,1400,-549.0274261474609
ppo_random_hover_40,1500,-548.8123287963867
ppo_random_hover_40,1600,-585.6026046752929
ppo_random_hover_40,1700,-605.7845169067383
ppo_random_hover_41,0,-6.921526864348423
ppo_random_hover_41,100,-732.6755801391602
ppo_random_hover_41,200,-731.6836340332031
ppo_random_hover_41,300,-686.1706414794921
ppo_random_hover_41,400,-650.187956237793
